"","date","daily_vaccines"
"173","2024-02-02","[[0.001231],[0.001278],[0.001619],[0.000218],[0.000864]]"
"174","2024-02-03","[[0.001193],[0.001245],[0.001592],[0.000207],[0.000828]]"
"175","2024-02-04","[[0.001156],[0.001213],[0.001565],[0.000196],[0.000793]]"
"176","2024-02-05","[[0.00112],[0.001182],[0.001539],[0.000186],[0.000759]]"
"177","2024-02-06","[[0.001085],[0.001152],[0.001512],[0.000176],[0.000727]]"
"178","2024-02-07","[[0.001051],[0.001122],[0.001486],[0.000167],[0.000696]]"
"179","2024-02-08","[[0.001018],[0.001092],[0.00146],[0.000158],[0.000667]]"
"180","2024-02-09","[[0.000986],[0.001064],[0.001435],[0.00015],[0.000638]]"
"181","2024-02-10","[[0.000955],[0.001036],[0.001409],[0.000142],[0.000611]]"
"182","2024-02-11","[[0.000925],[0.001009],[0.001384],[0.000135],[0.000585]]"
"183","2024-02-12","[[0.000895],[0.000982],[0.001359],[0.000128],[0.00056]]"
"184","2024-02-13","[[0.000867],[0.000956],[0.001334],[0.000121],[0.000536]]"
"185","2024-02-14","[[0.000839],[0.000931],[0.00131],[0.000115],[0.000513]]"
"186","2024-02-15","[[0.000812],[0.000906],[0.001286],[0.000109],[0.000491]]"
"187","2024-02-16","[[0.000786],[0.000882],[0.001262],[0.000103],[0.00047]]"
"188","2024-02-17","[[0.000761],[0.000858],[0.001238],[0.000098],[0.00045]]"
"189","2024-02-18","[[0.000736],[0.000835],[0.001215],[0.000093],[0.00043]]"
"190","2024-02-19","[[0.000713],[0.000813],[0.001192],[0.000088],[0.000412]]"
"191","2024-02-20","[[0.00069],[0.000791],[0.001169],[0.000083],[0.000394]]"
"192","2024-02-21","[[0.000667],[0.000769],[0.001146],[0.000079],[0.000377]]"
"193","2024-02-22","[[0.000646],[0.000748],[0.001124],[0.000075],[0.000361]]"
"194","2024-02-23","[[0.000625],[0.000728],[0.001102],[0.000071],[0.000345]]"
"195","2024-02-24","[[0.000605],[0.000708],[0.00108],[0.000067],[0.00033]]"
"196","2024-02-25","[[0.000585],[0.000689],[0.001059],[0.000063],[0.000316]]"
"197","2024-02-26","[[0.000566],[0.00067],[0.001038],[0.00006],[0.000302]]"
"198","2024-02-27","[[0.000547],[0.000652],[0.001017],[0.000057],[0.000289]]"
"199","2024-02-28","[[0.000529],[0.000634],[0.000996],[0.000054],[0.000277]]"
"200","2024-02-29","[[0.000512],[0.000617],[0.000976],[0.000051],[0.000265]]"
"201","2024-03-01","[[0.000495],[0.0006],[0.000956],[0.000048],[0.000253]]"
"202","2024-03-02","[[0.000479],[0.000583],[0.000937],[0.000046],[0.000242]]"
"203","2024-03-03","[[0.000463],[0.000567],[0.000918],[0.000044],[0.000232]]"
"204","2024-03-04","[[0.000448],[0.000551],[0.000899],[0.000041],[0.000221]]"
"205","2024-03-05","[[0.000433],[0.000536],[0.00088],[0.000039],[0.000212]]"
"206","2024-03-06","[[0.000419],[0.000521],[0.000862],[0.000037],[0.000203]]"
"207","2024-03-07","[[0.000405],[0.000507],[0.000844],[0.000035],[0.000194]]"
"208","2024-03-08","[[0.000392],[0.000492],[0.000826],[0.000033],[0.000185]]"
"209","2024-03-09","[[0.000379],[0.000479],[0.000808],[0.000031],[0.000177]]"
"210","2024-03-10","[[0.000366],[0.000465],[0.000791],[0.00003],[0.00017]]"
"211","2024-03-11","[[0.000354],[0.000452],[0.000774],[0.000028],[0.000162]]"
"212","2024-03-12","[[0.000342],[0.00044],[0.000758],[0.000027],[0.000155]]"
"213","2024-03-13","[[0.000331],[0.000427],[0.000741],[0.000025],[0.000148]]"
"214","2024-03-14","[[0.00032],[0.000415],[0.000725],[0.000024],[0.000142]]"
"215","2024-03-15","[[0.000309],[0.000404],[0.00071],[0.000023],[0.000136]]"
"216","2024-03-16","[[0.000299],[0.000392],[0.000694],[0.000022],[0.00013]]"
"217","2024-03-17","[[0.000289],[0.000381],[0.000679],[0.00002],[0.000124]]"
"218","2024-03-18","[[0.00028],[0.00037],[0.000664],[0.000019],[0.000119]]"
"219","2024-03-19","[[0.00027],[0.00036],[0.00065],[0.000018],[0.000113]]"
"220","2024-03-20","[[0.000261],[0.00035],[0.000635],[0.000017],[0.000108]]"
"221","2024-03-21","[[0.000252],[0.00034],[0.000621],[0.000016],[0.000104]]"
"222","2024-03-22","[[0.000244],[0.00033],[0.000608],[0.000016],[0.000099]]"
"223","2024-03-23","[[0.000236],[0.000321],[0.000594],[0.000015],[0.000095]]"
"224","2024-03-24","[[0.000228],[0.000312],[0.000581],[0.000014],[0.000091]]"
"225","2024-03-25","[[0.00022],[0.000303],[0.000568],[0.000013],[0.000087]]"
"226","2024-03-26","[[0.000213],[0.000294],[0.000555],[0.000013],[0.000083]]"
"227","2024-03-27","[[0.000206],[0.000286],[0.000543],[0.000012],[0.000079]]"
"228","2024-03-28","[[0.000199],[0.000278],[0.00053],[0.000011],[0.000076]]"
"229","2024-03-29","[[0.000192],[0.00027],[0.000518],[0.000011],[0.000072]]"
"230","2024-03-30","[[0.000186],[0.000262],[0.000507],[0.00001],[0.000069]]"
"231","2024-03-31","[[0.00018],[0.000255],[0.000495],[0.00001],[0.000066]]"
"232","2024-04-01","[[0.000174],[0.000248],[0.000484],[0.000009],[0.000063]]"
"233","2024-04-02","[[0.000168],[0.00024],[0.000473],[0.000009],[0.000061]]"
"234","2024-04-03","[[0.000162],[0.000234],[0.000462],[0.000008],[0.000058]]"
"235","2024-04-04","[[0.000157],[0.000227],[0.000451],[0.000008],[0.000055]]"
"236","2024-04-05","[[0.000151],[0.00022],[0.000441],[0.000007],[0.000053]]"
"237","2024-04-06","[[0.000146],[0.000214],[0.000431],[0.000007],[0.000051]]"
"238","2024-04-07","[[0.000141],[0.000208],[0.000421],[0.000007],[0.000048]]"
"239","2024-04-08","[[0.000137],[0.000202],[0.000411],[0.000006],[0.000046]]"
"240","2024-04-09","[[0.000132],[0.000196],[0.000402],[0.000006],[0.000044]]"
"241","2024-04-10","[[0.000128],[0.000191],[0.000392],[0.000006],[0.000042]]"
"242","2024-04-11","[[0.000123],[0.000185],[0.000383],[0.000005],[0.00004]]"
"243","2024-04-12","[[0.000119],[0.00018],[0.000374],[0.000005],[0.000039]]"
"244","2024-04-13","[[0.000115],[0.000175],[0.000366],[0.000005],[0.000037]]"
"245","2024-04-14","[[0.000111],[0.00017],[0.000357],[0.000004],[0.000035]]"
"246","2024-04-15","[[0.000107],[0.000165],[0.000349],[0.000004],[0.000034]]"
"247","2024-04-16","[[0.000104],[0.00016],[0.000341],[0.000004],[0.000032]]"
"248","2024-04-17","[[0.0001],[0.000155],[0.000333],[0.000004],[0.000031]]"
"249","2024-04-18","[[0.000097],[0.000151],[0.000325],[0.000004],[0.00003]]"
"250","2024-04-19","[[0.000094],[0.000146],[0.000317],[0.000003],[0.000028]]"
"251","2024-04-20","[[0.00009],[0.000142],[0.00031],[0.000003],[0.000027]]"
"252","2024-04-21","[[0.000087],[0.000138],[0.000302],[0.000003],[0.000026]]"
"253","2024-04-22","[[0.000084],[0.000134],[0.000295],[0.000003],[0.000025]]"
"254","2024-04-23","[[0.000082],[0.00013],[0.000288],[0.000003],[0.000024]]"
"255","2024-04-24","[[0.000079],[0.000127],[0.000281],[0.000003],[0.000023]]"
"256","2024-04-25","[[0.000076],[0.000123],[0.000275],[0.000002],[0.000022]]"
"257","2024-04-26","[[0.000074],[0.000119],[0.000268],[0.000002],[0.000021]]"
"258","2024-04-27","[[0.000071],[0.000116],[0.000262],[0.000002],[0.00002]]"
"259","2024-04-28","[[0.000069],[0.000113],[0.000255],[0.000002],[0.000019]]"
"260","2024-04-29","[[0.000066],[0.000109],[0.000249],[0.000002],[0.000018]]"
"261","2024-04-30","[[0.000064],[0.000106],[0.000243],[0.000002],[0.000017]]"
"262","2024-05-01","[[0.000062],[0.000103],[0.000238],[0.000002],[0.000016]]"
"263","2024-05-02","[[0.00006],[0.0001],[0.000232],[0.000002],[0.000016]]"
"264","2024-05-03","[[0.000058],[0.000097],[0.000226],[0.000002],[0.000015]]"
"265","2024-05-04","[[0.000056],[0.000094],[0.000221],[0.000002],[0.000014]]"
"266","2024-05-05","[[0.000054],[0.000092],[0.000216],[0.000001],[0.000014]]"
"267","2024-05-06","[[0.000052],[0.000089],[0.00021],[0.000001],[0.000013]]"
"268","2024-05-07","[[0.00005],[0.000086],[0.000205],[0.000001],[0.000013]]"
"269","2024-05-08","[[0.000049],[0.000084],[0.0002],[0.000001],[0.000012]]"
"270","2024-05-09","[[0.000047],[0.000081],[0.000196],[0.000001],[0.000011]]"
"271","2024-05-10","[[0.000045],[0.000079],[0.000191],[0.000001],[0.000011]]"
"272","2024-05-11","[[0.000044],[0.000077],[0.000186],[0.000001],[0.000011]]"
"273","2024-05-12","[[0.000042],[0.000075],[0.000182],[0.000001],[0.00001]]"
"274","2024-05-13","[[0.000041],[0.000072],[0.000177],[0.000001],[0.00001]]"
"275","2024-05-14","[[0.00004],[0.00007],[0.000173],[0.000001],[0.000009]]"
"276","2024-05-15","[[0.000038],[0.000068],[0.000169],[0.000001],[0.000009]]"
"277","2024-05-16","[[0.000037],[0.000066],[0.000165],[0.000001],[0.000008]]"
"278","2024-05-17","[[0.000036],[0.000064],[0.000161],[0.000001],[0.000008]]"
"279","2024-05-18","[[0.000034],[0.000062],[0.000157],[0.000001],[0.000008]]"
"280","2024-05-19","[[0.000033],[0.000061],[0.000153],[0.000001],[0.000007]]"
"281","2024-05-20","[[0.000032],[0.000059],[0.000149],[0.000001],[0.000007]]"
"282","2024-05-21","[[0.000031],[0.000057],[0.000146],[0.000001],[0.000007]]"
"283","2024-05-22","[[0.00003],[0.000055],[0.000142],[0.000001],[0.000006]]"
"284","2024-05-23","[[0.000029],[0.000054],[0.000139],[0.000001],[0.000006]]"
"285","2024-05-24","[[0.000028],[0.000052],[0.000135],[0.000001],[0.000006]]"
"286","2024-05-25","[[0.000027],[0.000051],[0.000132],[0],[0.000006]]"
"287","2024-05-26","[[0.000026],[0.000049],[0.000129],[0],[0.000005]]"
"288","2024-05-27","[[0.000025],[0.000048],[0.000126],[0],[0.000005]]"
"289","2024-05-28","[[0.000024],[0.000046],[0.000123],[0],[0.000005]]"
"290","2024-05-29","[[0.000024],[0.000045],[0.00012],[0],[0.000005]]"
"291","2024-05-30","[[0.000023],[0.000044],[0.000117],[0],[0.000004]]"
"292","2024-05-31","[[0.000022],[0.000043],[0.000114],[0],[0.000004]]"
"293","2024-06-01","[[0.000021],[0.000041],[0.000111],[0],[0.000004]]"
"294","2024-06-02","[[0.000021],[0.00004],[0.000108],[0],[0.000004]]"
"295","2024-06-03","[[0.00002],[0.000039],[0.000106],[0],[0.000004]]"
"296","2024-06-04","[[0.000019],[0.000038],[0.000103],[0],[0.000004]]"
"297","2024-06-05","[[0.000019],[0.000037],[0.0001],[0],[0.000003]]"
"298","2024-06-06","[[0.000018],[0.000036],[0.000098],[0],[0.000003]]"
"299","2024-06-07","[[0.000017],[0.000035],[0.000096],[0],[0.000003]]"
"300","2024-06-08","[[0.000017],[0.000034],[0.000093],[0],[0.000003]]"
"301","2024-06-09","[[0.000016],[0.000033],[0.000091],[0],[0.000003]]"
"302","2024-06-10","[[0.000016],[0.000032],[0.000089],[0],[0.000003]]"
"303","2024-06-11","[[0.000015],[0.000031],[0.000087],[0],[0.000003]]"
"304","2024-06-12","[[0.000015],[0.00003],[0.000084],[0],[0.000002]]"
"305","2024-06-13","[[0.000014],[0.000029],[0.000082],[0],[0.000002]]"
"306","2024-06-14","[[0.000014],[0.000028],[0.00008],[0],[0.000002]]"
