"","date","daily_vaccines"
"285","2024-05-24","[[0.000024],[0.000045],[0.000116],[0],[0.000005]]"
"286","2024-05-25","[[0.000023],[0.000044],[0.000113],[0],[0.000005]]"
"287","2024-05-26","[[0.000022],[0.000042],[0.000111],[0],[0.000005]]"
"288","2024-05-27","[[0.000022],[0.000041],[0.000108],[0],[0.000004]]"
"289","2024-05-28","[[0.000021],[0.00004],[0.000105],[0],[0.000004]]"
"290","2024-05-29","[[0.00002],[0.000039],[0.000103],[0],[0.000004]]"
"291","2024-05-30","[[0.00002],[0.000038],[0.0001],[0],[0.000004]]"
"292","2024-05-31","[[0.000019],[0.000037],[0.000098],[0],[0.000004]]"
"293","2024-06-01","[[0.000018],[0.000036],[0.000095],[0],[0.000004]]"
"294","2024-06-02","[[0.000018],[0.000034],[0.000093],[0],[0.000003]]"
"295","2024-06-03","[[0.000017],[0.000033],[0.000091],[0],[0.000003]]"
"296","2024-06-04","[[0.000016],[0.000032],[0.000089],[0],[0.000003]]"
"297","2024-06-05","[[0.000016],[0.000032],[0.000086],[0],[0.000003]]"
"298","2024-06-06","[[0.000015],[0.000031],[0.000084],[0],[0.000003]]"
"299","2024-06-07","[[0.000015],[0.00003],[0.000082],[0],[0.000003]]"
"300","2024-06-08","[[0.000014],[0.000029],[0.00008],[0],[0.000003]]"
"301","2024-06-09","[[0.000014],[0.000028],[0.000078],[0],[0.000002]]"
"302","2024-06-10","[[0.000013],[0.000027],[0.000076],[0],[0.000002]]"
"303","2024-06-11","[[0.000013],[0.000026],[0.000074],[0],[0.000002]]"
"304","2024-06-12","[[0.000012],[0.000026],[0.000073],[0],[0.000002]]"
"305","2024-06-13","[[0.000012],[0.000025],[0.000071],[0],[0.000002]]"
"306","2024-06-14","[[0.000012],[0.000024],[0.000069],[0],[0.000002]]"
